und_umls_cuii,ind_umls_pt,ind_umls_sem_typ1
C0235575,Haemolytic Reaction,Disease or Syndrome
C1839436,Lactic Acidosis; Severe,Finding
C0220981,Metabolic Acidosis,Pathologic Function
C0392621,Methyl Alcohol Poisoning,Injury or Poisoning
C0599918,Nephrotoxicity,Injury or Poisoning
C0161544,Poisoning By Salicylate,Injury or Poisoning
C1443924,Severe Diarrhea,Sign or Symptom
C0036974,Shock,Pathologic Function
C0001126,Renal Tubular Acidosis,Disease or Syndrome
C0020461,Hyperkalemia,Finding
C0029944,Drug Overdose,Injury or Poisoning
C0001122,Acidosis,Pathologic Function
C0242640,Multi-Drug Resistance,Organism Attribute
C0038814,Sunburn,Injury or Poisoning
C0850666,Bacterial Infection Due To Helicobacter Pylori (H. Pylori),Disease or Syndrome
C0858217,Gastrointestinal Fullness,Sign or Symptom
C0014724,Eructation,Sign or Symptom
C0596601,Gastrointestinal Gas,Sign or Symptom
C0020505,Hyperphagia,Mental or Behavioral Dysfunction
C0027497,Nausea,Sign or Symptom
C0277528,Traveler'S Diarrhea,Disease or Syndrome
C0232487,Abdominal Discomfort,Sign or Symptom
C0220781,Anabolism,Biologic Function
C0304463,Alkalinizing Agent,Pharmacologic Substance
C1267903,Lymphocyte Positive For Cd30 Antigen,Cell
C0019829,Hodgkin Disease,Neoplastic Process
C0017612,Glaucoma; Open-Angle,Disease or Syndrome
C0151827,Eye Pain,Sign or Symptom
C0425511,Sputum Finding,Finding
C0035457,Rhinitis; Allergic; Perennial,Disease or Syndrome
C0749874,Upper Respiratory Symptom,Sign or Symptom
C0278139,Moderate Pain,Sign or Symptom
C0524662,Opiate Addiction,Mental or Behavioral Dysfunction
C0278140,Severe Pain,Sign or Symptom
C1269683,Major Depressive Disorder,Mental or Behavioral Dysfunction
C0037369,Smoking,Individual Behavior
C0018050,Gonadal Disorders,Disease or Syndrome
C0021603,Sleep Initiation And Maintenance Disorders,Disease or Syndrome
C0917801,Sleeplessness,Sign or Symptom
C0018891,Helminthiasis; Animal,Disease or Syndrome
C0037278,Skin Diseases; Infectious,Disease or Syndrome
C0011630,Dermatomycoses,Disease or Syndrome
C0006840,Candidiasis,Disease or Syndrome
C0700345,Candidiasis; Vulvovaginal,Disease or Syndrome
C0042251,Vaginal Diseases,Disease or Syndrome
C0549310,Vaginal Mycosis,Disease or Syndrome
C0474368,Labor Pain,Sign or Symptom
C0011849,Diabetes Mellitus,Disease or Syndrome
C0003578,Apnea,Pathologic Function
C0021294,Infant; Premature,Age Group
C0085681,Hyperphosphatemia,Disease or Syndrome
C0020598,Hypocalcemia,Pathologic Function
C0029458,Osteoporosis; Postmenopausal,Disease or Syndrome
C0553706,Serum Phosphate Increased,Finding
C0006353,Buffers,Pharmacologic Substance
C0267975,Nutritional Deficiency; Nec,Disease or Syndrome
C0392519,Calcium Deficiency,Disease or Syndrome
C0028709,Nutrition Disorders,Disease or Syndrome
C0858092,Plasma Calcium Abnormal,Finding
C0013798,Electrocardiogram,Finding
C0572339,Magnesium Sulfate Overdose,Injury or Poisoning
C2062724,Poisoning By Magnesium,Injury or Poisoning
C0553704,Potassium; Increased Level,Finding
C0039621,Tetany,Disease or Syndrome
C0595934,Calcium Depletion,Finding
C0002063,Alkalosis,Disease or Syndrome
C0020626,Hypoparathyroidism,Disease or Syndrome
C0024523,Malabsorption Syndrome,Disease or Syndrome
C0270224,Tetany; Neonatal,Disease or Syndrome
C0042870,Vitamin D Deficiency,Disease or Syndrome
C0016658,Fracture,Injury or Poisoning
C0035192,Resins; Synthetic,Biomedical or Dental Material
C0012814,Colonic Diverticulitis,Disease or Syndrome
C0022104,Irritable Bowel Syndrome,Disease or Syndrome
C1705215,Lubricant Excipient,Biomedical or Dental Material
C0242301,Furuncle,Disease or Syndrome
C0010380,Croup,Disease or Syndrome
C1149108,Angiotensin Type Ii Receptor Activity,Molecular Function
C1148778,Mineralocorticoid Receptor Activity,Molecular Function
C0020428,Hyperaldosteronism,Disease or Syndrome
C0003250,Monoclonal Antibodies,Immunologic Factor
C0424594,Frailty,Finding
C0003862,Arthralgia,Sign or Symptom
C0004604,Back Pain,Sign or Symptom
C0234238,Ache,Sign or Symptom
C0080194,Muscle Strain,Injury or Poisoning
C0231528,Myalgia,Sign or Symptom
C0027796,Neuralgia,Sign or Symptom
C0038045,Sprain,Injury or Poisoning
C0037290,Skin Pigmentation,Organ or Tissue Function
C0863090,Allergic Skin Reaction,Disease or Syndrome
C0002792,Anaphylaxis,Pathologic Function
C0002994,Angioedema,Pathologic Function
C0571758,Blood Derivative Allergy,Disease or Syndrome
C0343065,Symptomatic Dermographism,Disease or Syndrome
C0042109,Urticaria,Disease or Syndrome
C0043144,Wheezing,Sign or Symptom
C0017243,Gel,Biomedical or Dental Material
C3179240,Oxytocic Effect,Physiologic Function
C0558369,Failed Abortion,Pathologic Function
C0239561,Fetal Expulsion,Finding
C0015944,Fetal Membranes; Premature Rupture,Pathologic Function
C0233097,Abortion In Second Trimester,Disease or Syndrome
C2113892,Number Of Weeks Pregnant Based On Date Of Last Menstrual Period,Finding
C3264090,13 Weeks Gestation Of Pregnancy,Finding
C3264098,20 Weeks Gestation Of Pregnancy,Finding
C0032797,Postpartum Hemorrhage,Pathologic Function
C0233308,Spontaneous Rupture Of Membranes,Finding
C0205269,Unresponsive To Treatment,Functional Concept
C0042135,Uterine Inertia,Pathologic Function
C0026769,Multiple Sclerosis,Disease or Syndrome
C0027659,Neoplasms; Experimental,Neoplastic Process
C0031142,Peritoneal Diseases,Disease or Syndrome
C0042131,Uterine Diseases,Disease or Syndrome
C0043352,Xerostomia,Sign or Symptom
C1707792,Disintegrant Excipient,Biomedical or Dental Material
C0085624,Burning Sensation,Sign or Symptom
C0314719,Dryness Of Eye,Sign or Symptom
C0234215,Sensory Discomfort,Sign or Symptom
C2169558,Recent Exposure To Heat And Wind,Finding
C1456711,Sun Exposure,Finding
C0013161,Drug Carriers,Biomedical or Dental Material
C0854608,Systemic Antifungal Treatment,Therapeutic or Preventive Procedure
C1152120,1;3-Beta-D-Glucan Synthase Activity,Molecular Function
C2266959,Cephalosporin Antibacterial [Epc],Antibiotic
C1096222,Urinary Tract Infection Bacterial,Disease or Syndrome
C0026458,Monobactams,Antibiotic
C0006277,Bronchitis,Disease or Syndrome
C0014836,Escherichia Coli Infections,Disease or Syndrome
C0018081,Gonorrhea,Disease or Syndrome
C0018482,Haemophilus Infections,Disease or Syndrome
C0022729,Klebsiella Infections,Disease or Syndrome
C0029882,Otitis Media,Disease or Syndrome
C0031350,Pharyngitis,Disease or Syndrome
C0004626,Pneumonia; Bacterial,Disease or Syndrome
C0033700,Proteus Infections,Disease or Syndrome
C0162627,Skin Diseases; Bacterial,Disease or Syndrome
C0038395,Streptococcal Infections,Disease or Syndrome
C0040425,Tonsillitis,Disease or Syndrome
C0451641,Urolithiasis,Disease or Syndrome
C0525069,Pharmaceutical Solutions,Biomedical or Dental Material
C0036429,Sclerosis,Pathologic Function
C2930750,Pharmaceutical Vehicles,Chemical Viewed Functionally
C0232539,Gastric Secretion Function,Organ or Tissue Function
C0020476,Hyperlipoproteinemias,Disease or Syndrome
C3257803,Watery Eyes,Sign or Symptom
C0700184,Throat Irritation,Sign or Symptom
C1387126,Allergy; Upper Respiratory Tract,Disease or Syndrome
C1152775,Gonadotropin-Releasing Hormone Receptor Activity,Molecular Function
C0151680,Gonadotropic Luteinizing Hormone Increased,Finding
C0038363,Aphthous Stomatitis,Disease or Syndrome
C0011389,Dental Plaque,Disease or Syndrome
C0011847,Diabetes,Disease or Syndrome
C0017563,Gingival Diseases,Disease or Syndrome
C0017574,Gingivitis,Disease or Syndrome
C0018520,Halitosis,Sign or Symptom
C0877508,Irritation Gum,Sign or Symptom
C0023646,Lichen Planus,Disease or Syndrome
C0149744,Oral Lesion,Finding
C1522449,Therapeutic Radiology Procedure,Therapeutic or Preventive Procedure
C1527336,Sjogren'S Syndrome,Disease or Syndrome
C0553694,Oropharyngeal Disorders,Disease or Syndrome
C0232051,Cough Reflex,Finding
C0085631,Agitation,Sign or Symptom
C0012833,Dizziness,Sign or Symptom
C0026603,Motion Sickness,Disease or Syndrome
C0236663,Alcohol Withdrawal Syndrome,Disease or Syndrome
C1148670,Benzodiazepine Receptor Activity,Molecular Function
C0018581,Handwashing,Activity
C1271650,Antimicrobial Activity,Laboratory or Test Result
C0266929,Chronic Periodontitis,Disease or Syndrome
C0235324,Dental Swelling,Finding
C0017565,Gingival Hemorrhage,Finding
C0332575,Redness,Finding
C0555971,Oral Infection,Disease or Syndrome
C0008920,Cleansing Agents,Pharmacologic Substance
C0877046,Infection Of Tooth,Disease or Syndrome
C0085595,Body Odor,Finding
C0027788,Nerve Conduction Function,Organ or Tissue Function
C0452213,Phenothiazine Antipsychotics And Neuroleptics Causing Adverse Effects In Therapeutic Use,Injury or Poisoning
C0007302,Cartilage Diseases,Disease or Syndrome
C0029408,Degenerative Polyarthritis,Disease or Syndrome
C2607914,Allergic Rhinitis (Disorder),Disease or Syndrome
C0152029,Congestion Of Nasal Sinus,Sign or Symptom
C0030469,Paranasal Sinus Diseases,Disease or Syndrome
C0274847,Toxic Effect Of Caustic Substance,Injury or Poisoning
C0268093,Chromium Deficiency,Disease or Syndrome
C0687148,Mineral Deficiency,Disease or Syndrome
C0342924,Trace Element Deficiency,Pathologic Function
C0020649,Hypotension,Finding
C0036508,Seborrheic Dermatitis,Disease or Syndrome
C0006846,Cutaneous Candidiasis,Disease or Syndrome
C0014531,Epidermophytosis,Disease or Syndrome
C0276680,Infection By Candida Albicans,Disease or Syndrome
C0040252,Tinea Corporis (Disorder),Disease or Syndrome
C1384589,Tinea Cruris,Disease or Syndrome
C1274478,Tinea Due To Microsporum Canis,Disease or Syndrome
C1274486,Tinea Due To Trichophyton Mentagrophytes,Disease or Syndrome
C1299606,Tinea Due To Trichophyton Rubrum,Disease or Syndrome
C0040259,Tinea Pedis,Disease or Syndrome
C1262211,Diarrhea Predominant Irritable Bowel Syndrome,Disease or Syndrome
C1150160,Dipeptidase Activity,Molecular Function
C2267184,Calcium-Sensing Receptor Interactions [Moa],Molecular Function
C1561643,Chronic Kidney Diseases,Disease or Syndrome
C0274419,Complication Of Renal Dialysis,Pathologic Function
C0020437,Hypercalcemia,Disease or Syndrome
C0020503,Hyperparathyroidism; Secondary,Disease or Syndrome
C0687150,Parathyroid Gland Adenocarcinoma,Neoplastic Process
C1096266,Alpha Haemolytic Streptococcal Infection,Disease or Syndrome
C0009763,Conjunctivitis,Disease or Syndrome
C0010043,Corneal Ulcer,Acquired Abnormality
C0348321,Hemophilus Influenza Infection,Disease or Syndrome
C0276075,Infection Due To Pseudomonas Aeruginosa,Disease or Syndrome
C0032269,Pneumococcal Infections,Disease or Syndrome
C1096571,Serratia Marcescens Infection,Disease or Syndrome
C1318973,Staphylococcus Aureus Infection,Disease or Syndrome
C1096572,Staphylococcus Epidermidis Infection,Disease or Syndrome
C0034428,Quinolones,Organic Chemical
C0013447,Ear Diseases,Disease or Syndrome
C0521833,Bacterial Ear Infection,Disease or Syndrome
C1621749,5-Hydroxytryptamine Uptake,Molecular Function
C0018674,Craniocerebral Trauma,Injury or Poisoning
C2673444,Hypocitraturia,Finding
C1833683,Nephrolithiasis; Calcium Oxalate,Disease or Syndrome
C0403719,Uric Acid Urolithiasis,Disease or Syndrome
C0022650,Kidney Calculi,Disease or Syndrome
C0333026,Calcium Oxalate Calculus,Body Substance
C0042018,Urinary Calculi,Body Substance
C1504369,Allergic Disorder Of Respiratory System,Disease or Syndrome
C0423153,Lacrimation,Finding
C0001144,Acne Vulgaris,Disease or Syndrome
C0702166,Acne,Disease or Syndrome
C1704277,Shampoo Dosage Form,Biomedical or Dental Material
C0027412,Opioid-Related Disorders,Mental or Behavioral Dysfunction
C0032024,Pityriasis,Disease or Syndrome
C0013595,Eczema,Disease or Syndrome
C0021212,Indicators,Indicator; Reagent; or Diagnostic Aid
C0278138,Mild Pain,Sign or Symptom
C1859164,Elevated Serum Bile Acids,Finding
C1152934,Surfactant Activity,Molecular Function
C1149154,Vasopressin Receptor Activity,Molecular Function
C0268070,Hypocupremia,Disease or Syndrome
C1159582,Atp Synthesis Coupled Proton Transport,Molecular Function
C0235454,Adrenal Cortical Dysfunction,Disease or Syndrome
C0010481,Cushing Syndrome,Disease or Syndrome
C0405580,Adrenal Cortical Hypofunction,Disease or Syndrome
C0001403,Addison Disease,Disease or Syndrome
C0001623,Adrenal Gland Hypofunction,Disease or Syndrome
C0014130,Endocrine System Diseases,Disease or Syndrome
C0021053,Immune System Diseases,Disease or Syndrome
C0010406,Cryoprotective Agents,Pharmacologic Substance
C0000737,Abdominal Pain,Sign or Symptom
C0847614,Allergy; Nasal,Disease or Syndrome
C0009773,Conjunctivitis; Vernal,Disease or Syndrome
C0016382,Flushing,Sign or Symptom
C0022568,Keratitis,Disease or Syndrome
C0022577,Keratoconjunctivitis; Vernal,Disease or Syndrome
C0024899,Mastocytosis,Disease or Syndrome
C0231918,Nose Symptoms,Sign or Symptom
C0520761,Toxic Effect Of Chemical,Injury or Poisoning
C3179195,Mydriatic Effect,Physiologic Function
C0339165,Perennial Allergic Conjunctivitis,Disease or Syndrome
C0221207,Urticaria Due To Cold,Disease or Syndrome
C2931187,Nephropathic Cystinosis,Disease or Syndrome
C0333020,Calculus = Cystine,Body Substance
C0002520,Amino Acids,Pharmacologic Substance
C1149593,Thrombin Activity,Molecular Function
C0004238,Atrial Fibrillation,Pathologic Function
C0013922,Embolism,Pathologic Function
C0262660,Vascular Embolism,Disease or Syndrome
C1998415,Disorder Of Hip Joint,Disease or Syndrome
C0442893,Systemic Disease,Disease or Syndrome
C0857496,Thromboembolic Event,Pathologic Function
C1861172,Venous Thromboembolism,Pathologic Function
C0589110,Postoperative Deep Vein Thrombosis,Disease or Syndrome
C0276535,Aids With Kaposi'S Sarcoma,Neoplastic Process
C0162526,Aids-Related Opportunistic Infections,Disease or Syndrome
C0036220,Kaposi Sarcoma,Neoplastic Process
C0023467,Leukemia; Myelocytic; Acute,Neoplastic Process
C0023449,Acute Lymphocytic Leukemia,Neoplastic Process
C0003236,Antibiotics; Antineoplastic,Antibiotic
C0025517,Metabolic Diseases,Disease or Syndrome
C0232587,Digestive Peristalsis,Organ or Tissue Function
C0353744,Poisoning By Iron,Injury or Poisoning
C0376358,Malignant Neoplasm Of Prostate,Neoplastic Process
C1373120,Non-Nucleoside Reverse Transcriptase Inhibitors,Genetic Function
C0242350,Erectile Dysfunction,Disease or Syndrome
C1112560,Diarrhea Post Chemotherapy,Sign or Symptom
C0014394,Enuresis,Sign or Symptom
C0854636,Adrenocortical Steroid Therapy,Therapeutic or Preventive Procedure
C0006435,Chemical Burns,Injury or Poisoning
C0010543,Cyclitis,Disease or Syndrome
C0239429,Eye Inflammation,Finding
C0016542,Foreign Bodies,Injury or Poisoning
C1275687,Herpes Zoster Keratitis,Disease or Syndrome
C0497209,Infective Conjunctivitis,Disease or Syndrome
C0339289,Injury Of Cornea,Injury or Poisoning
C0022081,Iritis,Disease or Syndrome
C0259799,Punctate Keratitis,Disease or Syndrome
C0035854,Rosacea,Disease or Syndrome
C0701836,Thermal Burn,Injury or Poisoning
C0278488,Carcinoma Breast Stage Iv,Neoplastic Process
C0878544,Cardiomyopathies,Disease or Syndrome
C0002667,Amphetamines,Pharmacologic Substance
C0549313,Bronchial Irritation,Finding
C0302338,Lung Irritant,Hazardous or Poisonous Substance
C0268818,Disorder Of The Lower Urinary Tract,Disease or Syndrome
C0751792,Trauma; Nervous System,Injury or Poisoning
C1151688,Pyruvate Dehydrogenase Activity,Molecular Function
C0149875,Primary Dysmenorrhea,Disease or Syndrome
C0037088,Signs And Symptoms,Sign or Symptom
C0038013,Ankylosing Spondylitis,Disease or Syndrome
C0034951,Refractive Errors,Disease or Syndrome
C0085636,Photophobia,Sign or Symptom
C0232588,Increased Digestive Peristalsis,Finding
C0740441,Acute Diarrhea,Disease or Syndrome
C0401151,Chronic Diarrhea,Pathologic Function
C0743630,Exacerbation Acute,Finding
C0156173,Functional Diarrhea,Disease or Syndrome
C1623223,Dna Gyrase Activity,Genetic Function
C0009088,Cluster Headache,Disease or Syndrome
C0870507,Ergot Derivative,Pharmacologic Substance
C0242488,Acute Lung Injury,Injury or Poisoning
C0035222,Respiratory Distress Syndrome; Adult,Disease or Syndrome
C0004153,Atherosclerosis,Disease or Syndrome
C0699826,Chronic Stable Angina,Disease or Syndrome
C0010073,Coronary Artery Vasospasm,Disease or Syndrome
C0233794,Memory Impairment,Mental or Behavioral Dysfunction
C0042373,Vascular Diseases,Disease or Syndrome
C0000768,Congenital Abnormality,Congenital Abnormality
C0015927,Fetal Death,Pathologic Function
C0565613,Maternal Labor/Delivery Problem Nos,Pathologic Function
C0812470,Incomplete Abortion Unspecified,Pathologic Function
C0017152,Gastritis,Disease or Syndrome
C0683370,Hypermotility,Pathologic Function
C0030920,Peptic Ulcer,Disease or Syndrome
C0152163,Pylorospasm,Disease or Syndrome
C0700590,Increased Sweating,Sign or Symptom
C0393760,Initial Insomnia,Mental or Behavioral Dysfunction
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction
C0014544,Epilepsy,Disease or Syndrome
C0338831,Manic,Mental or Behavioral Dysfunction
C0085417,Epilepsy; Complex Partial,Disease or Syndrome
C1846086,Decreased Contractility,Finding
C1961112,Heart Decompensation,Pathologic Function
C0747057,Heart; Disease (Organic),Disease or Syndrome
C0748243,Rapid Ventricular Response,Disease or Syndrome
C0581362,Anorectal Pain,Sign or Symptom
C0474605,Dry Stool,Laboratory or Test Result
C0278016,Hard Stool,Finding
C0267226,Primary Ruminal Tympany,Disease or Syndrome
C0033627,Protein Denaturation,Molecular Function
C0401160,Chemotherapy-Induced Nausea And Vomiting,Pathologic Function
